Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Salary Range From,Salary Range To,Salary Frequency,Posting Date
121583,LAW DEPARTMENT,External,1,COLLEGE AIDE,COLLEGE AIDE (ALL CITY DEPTS),10209,2,14,17,Hourly,6/25/13 0:00
121583,LAW DEPARTMENT,Internal,1,COLLEGE AIDE,COLLEGE AIDE (ALL CITY DEPTS),10209,2,14,17,Hourly,6/25/13 0:00
123103,TAX COMMISSION,External,1,AGENCY LEGAL INTERNE,AGENCY ATTORNEY INTERNE,30086,0,52482,63722,Annual,8/8/13 0:00
138999,ADMIN FOR CHILDREN'S SVCS,External,1,Program Analyst,COMMUNITY COORDINATOR,56058,0,45615,70810,Annual,7/2/14 0:00
139190,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Policy Analyst/Advisor,STAFF ANALYST TRAINEE,12749,0,35538,49041,Annual,1/2/14 0:00
139190,DEPT OF ENVIRONMENT PROTECTION,External,1,Policy Analyst/Advisor,STAFF ANALYST TRAINEE,12749,0,35538,49041,Annual,1/2/14 0:00
139800,DEPARTMENT OF BUILDINGS,Internal,1,Electrical Advisory Board Plan Examiner,PLAN EXAMINER (BLDGS),22410,0,59309,80000,Annual,1/9/14 0:00
139800,DEPARTMENT OF BUILDINGS,External,1,Electrical Advisory Board Plan Examiner,PLAN EXAMINER (BLDGS),22410,0,59309,80000,Annual,1/9/14 0:00
123103,TAX COMMISSION,Internal,1,AGENCY LEGAL INTERNE,AGENCY ATTORNEY INTERNE,30086,0,52482,63722,Annual,8/8/13 0:00
123135,TAX COMMISSION,External,1,ADMINISTRATIVE LAW JUDGE,AGENCY ATTORNEY,30087,4,69946,105712,Annual,8/8/13 0:00
123135,TAX COMMISSION,Internal,1,ADMINISTRATIVE LAW JUDGE,AGENCY ATTORNEY,30087,4,69946,105712,Annual,8/8/13 0:00
124564,DEPT OF ENVIRONMENT PROTECTION,External,1,Project Manager,CITY RESEARCH SCIENTIST,21744,2,63662,79899,Annual,7/31/13 0:00
124564,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Project Manager,CITY RESEARCH SCIENTIST,21744,2,63662,79899,Annual,7/31/13 0:00
147090,DEPT OF ENVIRONMENT PROTECTION,External,1,Project Manager Intern,PROJECT MANAGER INTERN#,22425,0,43452,49970,Annual,3/21/14 0:00
147090,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Project Manager Intern,PROJECT MANAGER INTERN#,22425,0,43452,49970,Annual,3/21/14 0:00
147342,DEPARTMENT OF BUILDINGS,Internal,5,Plan Examiner,PLAN EXAMINER (BLDGS),22410,0,59309,86240,Annual,3/21/14 0:00
147342,DEPARTMENT OF BUILDINGS,External,5,Plan Examiner,PLAN EXAMINER (BLDGS),22410,0,59309,86240,Annual,3/21/14 0:00
124839,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Port Marine Engineer (Vessels),PORT MARINE ENGINEER,6772,0,69417,97893,Annual,8/2/13 0:00
124839,DEPT OF ENVIRONMENT PROTECTION,External,1,Port Marine Engineer (Vessels),PORT MARINE ENGINEER,6772,0,69417,97893,Annual,8/2/13 0:00
128877,DEPT OF ENVIRONMENT PROTECTION,External,1,Seasonal City Park Worker,CITY PARK WORKER,90641,0,29271,45465,Annual,9/6/13 0:00
128877,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Seasonal City Park Worker,CITY PARK WORKER,90641,0,29271,45465,Annual,9/6/13 0:00
129063,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Quality Program Manager,ADMINISTRATIVE PROJECT MANAGER,83008,M1,49492,136198,Annual,9/6/13 0:00
140282,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Lab Microbiologist,LABORATORY MICROBIOLOGIST,21513,2,44589,61104,Annual,1/13/14 0:00
140282,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Lab Microbiologist,LABORATORY MICROBIOLOGIST,21513,2,44589,61104,Annual,1/13/14 0:00
140566,DEPT OF ENVIRONMENT PROTECTION,External,1,Deputy Director of Planning Projections and Demand Management,ASSOCIATE PROJECT MANAGER,22427,1,57129,82737,Annual,1/28/14 0:00
140566,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Deputy Director of Planning Projections and Demand Management,ASSOCIATE PROJECT MANAGER,22427,1,57129,82737,Annual,1/28/14 0:00
129063,DEPT OF ENVIRONMENT PROTECTION,External,1,Quality Program Manager,ADMINISTRATIVE PROJECT MANAGER,83008,M1,49492,136198,Annual,9/6/13 0:00
131277,NYC HOUSING AUTHORITY,Internal,5,Borough Safety Specialist,INDUSTRIAL HYGIENIST,31305,2,47251,63506,Annual,10/22/13 0:00
131277,NYC HOUSING AUTHORITY,External,5,Borough Safety Specialist,INDUSTRIAL HYGIENIST,31305,2,47251,63506,Annual,10/22/13 0:00
132011,DEPT OF ENVIRONMENT PROTECTION,External,1,Machinist,MACHINIST,92610,0,65501,76233,Annual,9/30/13 0:00
132011,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Machinist,MACHINIST,92610,0,65501,76233,Annual,9/30/13 0:00
132026,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Machinist's Helper,MACHINIST'S HELPER,92611,0,237,276,Daily,9/30/13 0:00
132026,DEPT OF ENVIRONMENT PROTECTION,External,1,Machinist's Helper,MACHINIST'S HELPER,92611,0,237,276,Daily,9/30/13 0:00
141713,ADMIN FOR CHILDREN'S SVCS,External,1,Project Manager,COMPUTER SPECIALIST (SOFTWARE),13632,2,71982,92738,Annual,1/22/14 0:00
141713,ADMIN FOR CHILDREN'S SVCS,Internal,1,Project Manager,COMPUTER SPECIALIST (SOFTWARE),13632,2,71982,92738,Annual,1/22/14 0:00
142186,NYC HOUSING AUTHORITY,External,1,Plumbing Engineer L-2,MECHANICAL ENGINEER,20415,2,78000,94000,Annual,3/25/14 0:00
142186,NYC HOUSING AUTHORITY,Internal,1,Plumbing Engineer L-2,MECHANICAL ENGINEER,20415,2,78000,94000,Annual,3/25/14 0:00
132292,NYC HOUSING AUTHORITY,External,52,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,90698,0,51908,54580,Annual,10/24/13 0:00
132292,NYC HOUSING AUTHORITY,Internal,52,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,90698,0,51908,54580,Annual,10/24/13 0:00
132391,DEPT OF ENVIRONMENT PROTECTION,External,1,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,10/3/13 0:00
132391,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,10/3/13 0:00
142473,DEPT OF ENVIRONMENT PROTECTION,External,1,"Deputy Director, Customer Service",ADMINISTRATIVE STAFF ANALYST (,1002D,0,54740,146276,Annual,1/28/14 0:00
142473,DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Deputy Director, Customer Service",ADMINISTRATIVE STAFF ANALYST (,1002D,0,54740,146276,Annual,1/28/14 0:00
142474,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Implementation Specialist,ASSOCIATE PROJECT MANAGER,22427,2,62942,92249,Annual,2/4/14 0:00
142474,DEPT OF ENVIRONMENT PROTECTION,External,1,Implementation Specialist,ASSOCIATE PROJECT MANAGER,22427,2,62942,92249,Annual,2/4/14 0:00
132566,FIRE DEPARTMENT,Internal,1,Electronic Command Board (ECB) Project Manager,ADMINISTRATIVE STAFF ANALYST (,1002A,0,31,49,Hourly,6/16/14 0:00
132566,FIRE DEPARTMENT,External,1,Electronic Command Board (ECB) Project Manager,ADMINISTRATIVE STAFF ANALYST (,1002A,0,31,49,Hourly,6/16/14 0:00
132602,ADMIN FOR CHILDREN'S SVCS,Internal,1,Documentation and Training Manager,COMPUTER SYSTEMS MANAGER,10050,M1,49492,136198,Annual,10/29/13 0:00
142484,DEPT OF ENVIRONMENT PROTECTION,External,1,Project Manager Intern,PROJECT MANAGER INTERN#,22425,0,43452,49970,Annual,1/28/14 0:00
142484,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Project Manager Intern,PROJECT MANAGER INTERN#,22425,0,43452,49970,Annual,1/28/14 0:00
142544,DEPT OF ENVIRONMENT PROTECTION,External,10,Supervisor (W&S Systems),SUPERVISOR (WATER & SEWER SYST,91308,0,53246,81272,Annual,1/30/14 0:00
142544,DEPT OF ENVIRONMENT PROTECTION,Internal,10,Supervisor (W&S Systems),SUPERVISOR (WATER & SEWER SYST,91308,0,53246,81272,Annual,1/30/14 0:00
142818,DEPARTMENT OF BUILDINGS,Internal,1,Electrical Advisory Board Plan Examiner,ELECTRICAL ENGINEER,20315,1,57129,82737,Annual,1/31/14 0:00
144613,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Machinist's Helper,MACHINIST'S HELPER,92611,0,30,34,Hourly,2/21/14 0:00
132602,ADMIN FOR CHILDREN'S SVCS,External,1,Documentation and Training Manager,COMPUTER SYSTEMS MANAGER,10050,M1,49492,136198,Annual,10/29/13 0:00
132622,DEPARTMENT OF BUILDINGS,Internal,2,Low Pressure Boiler Inspector,INSPECTOR (LOW PRESSURE BOILER,31671,0,42007,51936,Annual,10/7/13 0:00
132622,DEPARTMENT OF BUILDINGS,External,2,Low Pressure Boiler Inspector,INSPECTOR (LOW PRESSURE BOILER,31671,0,42007,51936,Annual,10/7/13 0:00
144613,DEPT OF ENVIRONMENT PROTECTION,External,1,Machinist's Helper,MACHINIST'S HELPER,92611,0,30,34,Hourly,2/21/14 0:00
144825,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Fixed Asset Analyst,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,2/25/14 0:00
144825,DEPT OF ENVIRONMENT PROTECTION,External,1,Fixed Asset Analyst,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,2/25/14 0:00
145045,DEPT OF ENVIRONMENT PROTECTION,External,1,"Director, Environmental Health and Safety",ADMINISTRATIVE PUBLIC HEALTH S,82989,M3,130000,162014,Annual,2/26/14 0:00
132714,DEPARTMENT OF FINANCE,Internal,1,Senior Business Analyst,COMPUTER SYSTEMS MANAGER,10050,M2,54740,100000,Annual,8/19/14 0:00
132714,DEPARTMENT OF FINANCE,External,1,Senior Business Analyst,COMPUTER SYSTEMS MANAGER,10050,M2,54740,100000,Annual,8/19/14 0:00
132719,DEPT OF ENVIRONMENT PROTECTION,Internal,2,Stationary Engineer (Electric),STATIONARY ENGINEER (ELECTRIC),91645,0,94983,94983,Annual,10/8/13 0:00
132719,DEPT OF ENVIRONMENT PROTECTION,External,2,Stationary Engineer (Electric),STATIONARY ENGINEER (ELECTRIC),91645,0,94983,94983,Annual,10/8/13 0:00
145045,DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Director, Environmental Health and Safety",ADMINISTRATIVE PUBLIC HEALTH S,82989,M3,130000,162014,Annual,2/26/14 0:00
145499,DEPT OF ENVIRONMENT PROTECTION,External,1,INDUSTRIAL HYGIENIST II,INDUSTRIAL HYGIENIST,31305,2,47251,63506,Annual,3/4/14 0:00
145499,DEPT OF ENVIRONMENT PROTECTION,Internal,1,INDUSTRIAL HYGIENIST II,INDUSTRIAL HYGIENIST,31305,2,47251,63506,Annual,3/4/14 0:00
145834,NYC HOUSING AUTHORITY,Internal,1,Director of Resident Engagement,ADMINISTRATIVE STAFF ANALYST (,10026,M4,68238,176074,Annual,3/11/14 0:00
132786,DEPT OF ENVIRONMENT PROTECTION,External,1,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,83008,M2,54740,146276,Annual,10/8/13 0:00
132786,DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,83008,M2,54740,146276,Annual,10/8/13 0:00
133794,DEPT OF ENVIRONMENT PROTECTION,External,1,Assistant Director of Budget and Procurement,ADMINISTRATIVE PROCUREMENT ANA,82976,M2,54740,146276,Annual,10/24/13 0:00
133794,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Assistant Director of Budget and Procurement,ADMINISTRATIVE PROCUREMENT ANA,82976,M2,54740,146276,Annual,10/24/13 0:00
133921,NYC HOUSING AUTHORITY,Internal,50,Temporary Painter,PAINTER,91830,0,35,35,Hourly,1/9/14 0:00
133921,NYC HOUSING AUTHORITY,External,50,Temporary Painter,PAINTER,91830,0,35,35,Hourly,1/9/14 0:00
145834,NYC HOUSING AUTHORITY,External,1,Director of Resident Engagement,ADMINISTRATIVE STAFF ANALYST (,10026,M4,68238,176074,Annual,3/11/14 0:00
145902,NYC HOUSING AUTHORITY,Internal,1,Managing Mechanical Engineer,ADMINISTRATIVE ENGINEER,10015,M2,90000,110000,Annual,3/12/15 0:00
145902,NYC HOUSING AUTHORITY,External,1,Managing Mechanical Engineer,ADMINISTRATIVE ENGINEER,10015,M2,90000,110000,Annual,3/12/15 0:00
145995,DEPARTMENT OF TRANSPORTATION,Internal,1,Vessel Construction Manager,PORT MARINE ENGINEER,6772,0,69417,97893,Annual,4/28/14 0:00
134160,ADMIN FOR CHILDREN'S SVCS,External,1,Project Manager,ADMINISTRATIVE STAFF ANALYST (,1002D,0,54740,146276,Annual,11/13/13 0:00
134160,ADMIN FOR CHILDREN'S SVCS,Internal,1,Project Manager,ADMINISTRATIVE STAFF ANALYST (,1002D,0,54740,146276,Annual,11/13/13 0:00
134280,ADMIN FOR CHILDREN'S SVCS,Internal,1,Business Analyst,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,11/1/13 0:00
145995,DEPARTMENT OF TRANSPORTATION,External,1,Vessel Construction Manager,PORT MARINE ENGINEER,6772,0,69417,97893,Annual,4/28/14 0:00
146208,DEPARTMENT OF FINANCE,Internal,2,Database Administrator,COMPUTER SYSTEMS MANAGER,10050,M1,49492,120000,Annual,3/12/14 0:00
146208,DEPARTMENT OF FINANCE,External,2,Database Administrator,COMPUTER SYSTEMS MANAGER,10050,M1,49492,120000,Annual,3/12/14 0:00
146353,NYC HOUSING AUTHORITY,Internal,1,Construction Director,ADMINISTRATIVE PROJECT MANAGER,83008,M4,125000,149000,Annual,4/3/14 0:00
134280,ADMIN FOR CHILDREN'S SVCS,External,1,Business Analyst,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,11/1/13 0:00
134511,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Green Infrastructure Engineer,ENVIRONMENTAL ENGINEER,20618,1,57129,82737,Annual,11/15/13 0:00
134515,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Green Infrastructure Engineer,CIVIL ENGINEER,20215,1,57129,82737,Annual,11/15/13 0:00
134681,DEPARTMENT OF FINANCE,External,1,Senior Software Developer,COMPUTER SYSTEMS MANAGER,10050,M2,54740,146276,Annual,11/12/13 0:00
146353,NYC HOUSING AUTHORITY,External,1,Construction Director,ADMINISTRATIVE PROJECT MANAGER,83008,M4,125000,149000,Annual,4/3/14 0:00
146565,DEPT OF INFO TECH & TELECOMM,External,1,IT Asset and Configuration Administrator,COMPUTER ASSOC (SOFTWARE),13631,3,64571,85000,Annual,3/28/14 0:00
146565,DEPT OF INFO TECH & TELECOMM,Internal,1,IT Asset and Configuration Administrator,COMPUTER ASSOC (SOFTWARE),13631,3,64571,85000,Annual,3/28/14 0:00
146633,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Special Assistant to the Assistant Commissioner,CITY RESEARCH SCIENTIST,21744,1,54080,65437,Annual,3/14/14 0:00
146633,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Special Assistant to the Assistant Commissioner,CITY RESEARCH SCIENTIST,21744,1,54080,65437,Annual,3/14/14 0:00
146713,DEPT OF ENVIRONMENT PROTECTION,External,1,Computer Specialist (Operations),COMPUTER SPECIALIST (OPERATION,13622,0,64609,100849,Annual,3/17/14 0:00
146713,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Computer Specialist (Operations),COMPUTER SPECIALIST (OPERATION,13622,0,64609,100849,Annual,3/17/14 0:00
134681,DEPARTMENT OF FINANCE,Internal,1,Senior Software Developer,COMPUTER SYSTEMS MANAGER,10050,M2,54740,146276,Annual,11/12/13 0:00
135152,DEPARTMENT OF FINANCE,External,2,Senior Property Valuation Modeler,ADMINISTRATIVE STAFF ANALYST (,1002D,0,54740,100000,Annual,11/18/13 0:00
135152,DEPARTMENT OF FINANCE,Internal,2,Senior Property Valuation Modeler,ADMINISTRATIVE STAFF ANALYST (,1002D,0,54740,100000,Annual,11/18/13 0:00
135890,DEPT OF ENVIRONMENT PROTECTION,Internal,1,HVAC/PFP Design Lead,ADMINISTRATIVE ENGINEER,10015,M2,54740,146276,Annual,11/25/13 0:00
87990,DEPARTMENT OF BUSINESS SERV.,Internal,1,Account Manager,CONTRACT REVIEWER (OFFICE OF L,40563,1,42405,65485,Annual,6/24/11 0:00
89386,DEPT OF CITYWIDE ADMIN SVCS,External,1,Civil Engineer,CIVIL ENGINEER,20215,3,75981,103007,Annual,8/12/11 0:00
89386,DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Civil Engineer,CIVIL ENGINEER,20215,3,75981,103007,Annual,8/12/11 0:00
97899,DEPARTMENT OF BUSINESS SERV.,Internal,1,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,10009,M3,60740,162014,Annual,1/26/12 0:00
102221,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,20616,0,43349,52496,Annual,6/21/12 0:00
102221,DEPT OF ENVIRONMENT PROTECTION,External,1,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,20616,0,43349,52496,Annual,6/21/12 0:00
152008,NYC HOUSING AUTHORITY,Internal,4,Planning and Program Scheduler,ASSOCIATE PROJECT MANAGER,22427,2,62942,92249,Annual,8/16/14 0:00
152008,NYC HOUSING AUTHORITY,External,4,Planning and Program Scheduler,ASSOCIATE PROJECT MANAGER,22427,2,62942,92249,Annual,8/16/14 0:00
152017,DEPT OF HEALTH/MENTAL HYGIENE,Internal,4,"Public Health Inspector, Bureau of Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,31215,1,38436,44201,Annual,7/2/14 0:00
152017,DEPT OF HEALTH/MENTAL HYGIENE,External,4,"Public Health Inspector, Bureau of Food Safety and Community Sanitation",PUBLIC HEALTH SANITARIAN,31215,1,38436,44201,Annual,7/2/14 0:00
152048,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Workforce Development & Non-Profit Coordinator,ADMINISTRATIVE STAFF ANALYST (,1002D,0,54740,146276,Annual,6/12/14 0:00
149343,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Director of Operations, Bureau of Chronic Disease Prevention and Tobacco",HEALTH SERVICES MANAGER,10069,M2,54740,146276,Annual,4/16/14 0:00
149343,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Director of Operations, Bureau of Chronic Disease Prevention and Tobacco",HEALTH SERVICES MANAGER,10069,M2,54740,146276,Annual,4/16/14 0:00
149351,ADMIN FOR CHILDREN'S SVCS,External,1,CSNYC Analyst,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,7/31/14 0:00
152048,DEPT OF ENVIRONMENT PROTECTION,External,1,Workforce Development & Non-Profit Coordinator,ADMINISTRATIVE STAFF ANALYST (,1002D,0,54740,146276,Annual,6/12/14 0:00
152096,ADMIN FOR CHILDREN'S SVCS,External,1,DYFJ Senior Analyst,ADMINISTRATIVE DIRECTOR OF SOC,10056,M2,54740,146276,Annual,8/19/14 0:00
152096,ADMIN FOR CHILDREN'S SVCS,Internal,1,DYFJ Senior Analyst,ADMINISTRATIVE DIRECTOR OF SOC,10056,M2,54740,146276,Annual,8/19/14 0:00
152495,LAW DEPARTMENT,Internal,1,Paralegal Supervisor,PARALEGAL AIDE,30080,2,41886,50967,Annual,6/19/14 0:00
149351,ADMIN FOR CHILDREN'S SVCS,Internal,1,CSNYC Analyst,ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,7/31/14 0:00
149413,DEPT OF HEALTH/MENTAL HYGIENE,External,100,Junior Public Health Nurse,JR PHNURSE (SCH HLTH)>20 HR PT,5100B,0,35,35,Hourly,4/18/14 0:00
149413,DEPT OF HEALTH/MENTAL HYGIENE,Internal,100,Junior Public Health Nurse,JR PHNURSE (SCH HLTH)>20 HR PT,5100B,0,35,35,Hourly,4/18/14 0:00
149488,DEPT OF ENVIRONMENT PROTECTION,External,1,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,4/21/14 0:00
149488,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,4/21/14 0:00
153098,DEPT OF ENVIRONMENT PROTECTION,External,1,Associate Project Manager II,ASSOCIATE PROJECT MANAGER,22427,2,62942,92249,Annual,7/2/14 0:00
153098,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Associate Project Manager II,ASSOCIATE PROJECT MANAGER,22427,2,62942,92249,Annual,7/2/14 0:00
153099,NYC HOUSING AUTHORITY,Internal,6,Architectural/Engineering Planner,ASSOCIATE PROJECT MANAGER,22427,2,62942,92249,Annual,8/21/14 0:00
153099,NYC HOUSING AUTHORITY,External,6,Architectural/Engineering Planner,ASSOCIATE PROJECT MANAGER,22427,2,62942,92249,Annual,8/21/14 0:00
153105,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Chief of Microbiology Services,CITY RESEARCH SCIENTIST,21744,4B,81595,118597,Annual,7/1/14 0:00
149599,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,4/25/14 0:00
149599,DEPT OF ENVIRONMENT PROTECTION,External,1,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,34201,0,43349,52496,Annual,4/25/14 0:00
149615,DEPT OF HEALTH/MENTAL HYGIENE,Internal,3,"Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE,51011,2,36,36,Hourly,4/24/14 0:00
149615,DEPT OF HEALTH/MENTAL HYGIENE,External,3,"Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE,51011,2,36,36,Hourly,4/24/14 0:00
152538,DEPT OF ENVIRONMENT PROTECTION,External,1,"Deputy Commissioner, Engineering Design & Construction",DEPUTY COMMISSIONER (DEP),95275,M7,89988,203566,Annual,6/20/14 0:00
152538,DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Deputy Commissioner, Engineering Design & Construction",DEPUTY COMMISSIONER (DEP),95275,M7,89988,203566,Annual,6/20/14 0:00
152669,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Marine Electronics Technician,MARINE ELECTRONICS TECHNICIAN,6753,0,73034,107985,Annual,6/23/14 0:00
152669,DEPT OF ENVIRONMENT PROTECTION,External,1,Marine Electronics Technician,MARINE ELECTRONICS TECHNICIAN,6753,0,73034,107985,Annual,6/23/14 0:00
149908,DEPARTMENT OF BUILDINGS,Internal,3,Senior Application Developer,COMPUTER SYSTEMS MANAGER,10050,M1,49492,100000,Annual,4/3/15 0:00
149908,DEPARTMENT OF BUILDINGS,External,3,Senior Application Developer,COMPUTER SYSTEMS MANAGER,10050,M1,49492,100000,Annual,4/3/15 0:00
149962,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Internetworking Specialist,CERT. IT ADMINISTRATOR WAN,13642,3,77733,95000,Annual,5/1/14 0:00
